simulation_number	D	h_c	S_c	b_0	debris_radius	debris_depth	cone_height	cone_width	days
1	0.001	0.08	1.15	0.02	0.25	0.5	0.721	2.45	92.96
2	0.001	0.08	1.15	0.03	0.25	0.5	0.812	2.375	66.15
3	0.001	0.08	1.15	0.04	0.25	0.5	0.875	2.35	51.72
4	0.001	0.08	1.15	0.05	0.25	0.5	0.922	2.35	42.61
5	0.001	0.08	1.15	0.06	0.25	0.5	0.959	2.35	36.32
6	0.0025	0.08	1.15	0.02	0.25	0.5	0.525	2.65	78.58
7	0.0025	0.08	1.15	0.03	0.25	0.5	0.609	2.55	56.55
8	0.0025	0.08	1.15	0.04	0.25	0.5	0.672	2.45	44.7
9	0.0025	0.08	1.15	0.05	0.25	0.5	0.721	2.45	37.18
10	0.0025	0.08	1.15	0.06	0.25	0.5	0.762	2.4	31.93
11	0.005	0.08	1.15	0.02	0.25	0.5	0.4	2.9	68.97
12	0.005	0.08	1.15	0.03	0.25	0.5	0.47	2.75	49.59
13	0.005	0.08	1.15	0.04	0.25	0.5	0.525	2.65	39.28
14	0.005	0.08	1.15	0.05	0.25	0.5	0.571	2.6	32.78
15	0.005	0.08	1.15	0.06	0.25	0.5	0.609	2.55	28.27
16	0.0075	0.08	1.15	0.02	0.25	0.5	0.338	3.1	64.18
17	0.0075	0.08	1.15	0.03	0.25	0.5	0.4	2.9	45.98
18	0.0075	0.08	1.15	0.04	0.25	0.5	0.449	2.8	36.37
19	0.0075	0.08	1.15	0.05	0.25	0.5	0.49	2.7	30.35
20	0.0075	0.08	1.15	0.06	0.25	0.5	0.525	2.65	26.18
21	0.01	0.08	1.15	0.02	0.25	0.5	0.3	3.275	61.18
22	0.01	0.08	1.15	0.03	0.25	0.5	0.355	3.05	43.66
23	0.01	0.08	1.15	0.04	0.25	0.5	0.4	2.9	34.48
24	0.01	0.08	1.15	0.05	0.25	0.5	0.437	2.8	28.74
25	0.01	0.08	1.15	0.06	0.25	0.5	0.47	2.75	24.79
