simulation_number	D	h_c	S_c	b_0	debris_radius	debris_depth	cone_height	cone_width	days
1	0.01	0.08	1.15	0.04	0.125	0.25	0.139	1.35	18.31
2	0.01	0.08	1.15	0.04	0.25	0.25	0.261	2.15	23.89
3	0.01	0.08	1.15	0.04	0.5	0.25	0.501	3.65	34.32
4	0.01	0.08	1.15	0.04	1.0	0.25	1.006	6.4	54.36
5	0.01	0.08	1.15	0.04	0.125	0.5	0.217	1.875	27.55
6	0.01	0.08	1.15	0.04	0.25	0.5	0.401	2.925	34.52
7	0.01	0.08	1.15	0.04	0.5	0.5	0.75	4.75	47.37
8	0.01	0.08	1.15	0.04	1.0	0.5	1.456	8.0	71.21
9	0.01	0.08	1.15	0.04	0.125	1.0	0.341	2.7	44.14
10	0.01	0.08	1.15	0.04	0.25	1.0	0.625	4.125	53.4
11	0.01	0.08	1.15	0.04	0.5	1.0	1.15	6.45	70.4
12	0.01	0.08	1.15	0.04	1.0	1.0	2.168	10.55	101.43
13	0.01	0.08	1.15	0.04	0.125	2.0	0.534	4.1	74.98
14	0.01	0.08	1.15	0.04	0.25	2.0	0.978	6.1	87.97
15	0.01	0.08	1.15	0.04	0.5	2.0	1.785	9.35	111.72
